,전국,수도권,서울,국고채3년(평균),국고채5년(평균),국고채10년(평균),회사채3년(평균),CD91물(평균),"콜금리(1일물,평균)",기준금리
201001,78.60 ,90.60 ,83.80 ,4.29,4.84,5.35,5.40,2.88,2.00,2.00 
201002,78.70 ,90.50 ,83.90 ,4.19,4.76,5.30,5.32,2.88,2.00,2.00 
201003,78.60 ,89.80 ,83.10 ,3.94,4.47,4.92,5.02,2.83,2.01,2.00 
201004,77.80 ,88.00 ,81.30 ,3.77,4.44,4.91,4.69,2.51,2.00,2.00 
201005,77.30 ,86.70 ,80.00 ,3.70,4.41,4.95,4.48,2.45,2.01,2.00 
201006,77.00 ,85.90 ,79.40 ,3.75,4.41,4.93,4.65,2.45,2.00,2.00 
201007,76.60 ,84.90 ,78.20 ,3.88,4.45,4.91,4.81,2.58,2.21,2.25 
201008,76.50 ,84.30 ,77.90 ,3.73,4.27,4.68,4.68,2.63,2.27,2.25 
201009,77.10 ,84.80 ,78.30 ,3.48,3.91,4.28,4.41,2.66,2.27,2.25 
201010,77.60 ,84.90 ,78.40 ,3.24,3.66,4.11,4.13,2.66,2.26,2.25 
201011,78.30 ,85.50 ,79.20 ,3.40,4.03,4.48,4.19,2.73,2.37,2.50 
201012,79.20 ,86.20 ,80.20 ,3.25,4.02,4.46,4.17,2.80,2.50,2.50 
201101,80.40 ,87.20 ,81.20 ,3.71,4.30,4.69,4.52,2.93,2.66,2.75 
201102,81.80 ,88.20 ,82.00 ,3.94,4.41,4.76,4.72,3.13,2.75,2.75 
201103,82.80 ,88.20 ,81.70 ,3.74,4.13,4.51,4.54,3.35,2.92,3.00 
201104,83.20 ,87.70 ,81.20 ,3.74,4.10,4.48,4.54,3.40,3.01,3.00 
201105,83.50 ,87.30 ,80.60 ,3.66,3.97,4.34,4.44,3.46,3.02,3.00 
201106,83.80 ,86.80 ,80.00 ,3.65,3.92,4.24,4.40,3.53,3.21,3.25 
201107,84.20 ,86.60 ,80.10 ,3.77,3.98,4.23,4.48,3.59,3.26,3.25 
201108,84.90 ,86.80 ,80.20 ,3.57,3.73,3.96,4.29,3.59,3.25,3.25 
201109,85.50 ,86.80 ,80.00 ,3.45,3.56,3.75,4.24,3.58,3.25,3.25 
201110,85.40 ,86.40 ,79.40 ,3.47,3.60,3.86,4.29,3.58,3.24,3.25 
201111,85.00 ,85.50 ,78.60 ,3.39,3.53,3.80,4.24,3.56,3.26,3.25 
201112,84.30 ,84.80 ,77.80 ,3.36,3.51,3.81,4.24,3.55,3.26,3.25 
201201,85.10 ,84.80 ,78.00 ,3.37,3.50,3.80,4.24,3.55,3.26,3.25 
201202,85.20 ,84.50 ,77.70 ,3.43,3.55,3.81,4.25,3.53,3.25,3.25 
201203,85.00 ,84.00 ,77.10 ,3.55,3.69,3.95,4.36,3.54,3.25,3.25 
201204,84.70 ,83.20 ,76.20 ,3.50,3.64,3.90,4.25,3.54,3.25,3.25 
201205,84.40 ,82.80 ,75.80 ,3.38,3.49,3.75,4.01,3.54,3.26,3.25 
201206,84.10 ,82.20 ,75.30 ,3.29,3.41,3.63,3.87,3.54,3.26,3.25 
201207,83.40 ,81.20 ,74.20 ,3.01,3.12,3.30,3.60,3.34,3.08,3.00 
201208,83.30 ,80.70 ,73.60 ,2.83,2.94,3.09,3.40,3.19,3.00,3.00 
201209,83.30 ,80.40 ,73.20 ,2.81,2.89,3.05,3.31,3.14,2.99,3.00 
201210,83.30 ,80.20 ,73.10 ,2.78,2.85,2.97,3.30,2.93,2.80,2.75 
201211,82.90 ,79.80 ,72.80 ,2.80,2.87,2.99,3.32,2.85,2.75,2.75 
201212,82.00 ,79.00 ,72.10 ,2.85,2.98,3.13,3.30,2.88,2.75,2.75 
201301,83.00 ,79.20 ,72.40 ,2.75,2.86,3.05,3.20,2.86,2.76,2.75 
201302,83.00 ,79.30 ,72.70 ,2.70,2.83,3.04,3.06,2.83,2.75,2.75 
201303,83.50 ,79.70 ,73.40 ,2.60,2.69,2.91,2.95,2.81,2.74,2.75 
201304,83.80 ,80.00 ,73.70 ,2.55,2.63,2.84,2.91,2.80,2.75,2.75 
201305,83.90 ,80.30 ,73.90 ,2.59,2.68,2.90,2.96,2.72,2.55,2.50 
201306,83.70 ,80.00 ,73.50 ,2.87,3.08,3.31,3.24,2.69,2.49,2.50 
201307,84.30 ,79.90 ,73.40 ,2.91,3.18,3.47,3.38,2.68,2.48,2.50 
201308,84.60 ,80.40 ,73.70 ,2.94,3.26,3.61,3.33,2.66,2.50,2.50 
201309,85.20 ,81.00 ,74.30 ,2.90,3.17,3.53,3.29,2.66,2.50,2.50 
201310,85.70 ,81.50 ,74.70 ,2.83,3.08,3.44,3.25,2.66,2.50,2.50 
201311,85.70 ,81.40 ,74.50 ,2.94,3.24,3.58,3.37,2.65,2.50,2.50 
201312,85.70 ,81.30 ,74.30 ,2.94,3.30,3.65,3.36,2.65,2.50,2.50 
201401,86.30 ,81.80 ,75.00 ,2.89,3.26,3.65,3.32,2.65,2.50,2.50 
201402,86.80 ,82.50 ,75.70 ,2.85,3.16,3.52,3.28,2.65,2.49,2.50 
201403,87.40 ,83.00 ,76.00 ,2.87,3.17,3.54,3.30,2.65,2.48,2.50 
201404,87.40 ,82.90 ,76.00 ,2.88,3.17,3.54,3.30,2.65,2.49,2.50 
201405,87.40 ,82.80 ,75.70 ,2.84,3.08,3.40,3.26,2.65,2.49,2.50 
201406,87.40 ,82.70 ,75.70 ,2.75,2.97,3.30,3.17,2.65,2.48,2.50 
201407,87.60 ,82.90 ,75.70 ,2.56,2.77,3.06,2.97,2.65,2.49,2.50 
201408,88.20 ,83.40 ,76.40 ,2.54,2.77,3.09,2.93,2.52,2.34,2.25 
201409,88.80 ,84.10 ,77.10 ,2.41,2.65,3.01,2.78,2.35,2.23,2.25 
201410,89.40 ,84.60 ,77.50 ,2.24,2.42,2.77,2.60,2.21,2.06,2.00 
201411,89.70 ,84.80 ,77.50 ,2.14,2.33,2.69,2.47,2.14,1.98,2.00 
201412,89.90 ,84.90 ,77.40 ,2.14,2.33,2.68,2.46,2.13,1.99,2.00 
201501,90.50 ,85.40 ,77.90 ,2.04,2.16,2.42,2.36,2.13,1.99,2.00 
201502,91.10 ,86.00 ,78.60 ,2.02,2.11,2.35,2.30,2.12,1.99,2.00 
