전국,수도권,서울,,국고채?3년(평균),국고채?5년(평균),국고채?10년(평균),회사채?3년(평균),CD?91물(평균),"콜금리(1일물,평균)",기준금리
78.6,90.6,83.8,201001월,4.29,4.84,5.35,5.40,2.88,2.00,2
78.7,90.5,83.9,201002월,4.19,4.76,5.30,5.32,2.88,2.00,2
78.6,89.8,83.1,201003월,3.94,4.47,4.92,5.02,2.83,2.01,2
77.8,88,81.3,201004월,3.77,4.44,4.91,4.69,2.51,2.00,2
77.3,86.7,80,201005월,3.70,4.41,4.95,4.48,2.45,2.01,2
77,85.9,79.4,201006월,3.75,4.41,4.93,4.65,2.45,2.00,2
76.6,84.9,78.2,201007월,3.88,4.45,4.91,4.81,2.58,2.21,2.25
76.5,84.3,77.9,201008월,3.73,4.27,4.68,4.68,2.63,2.27,2.25
77.1,84.8,78.3,201009월,3.48,3.91,4.28,4.41,2.66,2.27,2.25
77.6,84.9,78.4,201010월,3.24,3.66,4.11,4.13,2.66,2.26,2.25
78.3,85.5,79.2,201011월,3.40,4.03,4.48,4.19,2.73,2.37,2.5
79.2,86.2,80.2,201012월,3.25,4.02,4.46,4.17,2.80,2.50,2.5
80.4,87.2,81.2,201101월,3.71,4.30,4.69,4.52,2.93,2.66,2.75
81.8,88.2,82,201102월,3.94,4.41,4.76,4.72,3.13,2.75,2.75
82.8,88.2,81.7,201103월,3.74,4.13,4.51,4.54,3.35,2.92,3
83.2,87.7,81.2,201104월,3.74,4.10,4.48,4.54,3.40,3.01,3
83.5,87.3,80.6,201105월,3.66,3.97,4.34,4.44,3.46,3.02,3
83.8,86.8,80,201106월,3.65,3.92,4.24,4.40,3.53,3.21,3.25
84.2,86.6,80.1,201107월,3.77,3.98,4.23,4.48,3.59,3.26,3.25
84.9,86.8,80.2,201108월,3.57,3.73,3.96,4.29,3.59,3.25,3.25
85.5,86.8,80,201109월,3.45,3.56,3.75,4.24,3.58,3.25,3.25
85.4,86.4,79.4,201110월,3.47,3.60,3.86,4.29,3.58,3.24,3.25
85,85.5,78.6,201111월,3.39,3.53,3.80,4.24,3.56,3.26,3.25
84.3,84.8,77.8,201112월,3.36,3.51,3.81,4.24,3.55,3.26,3.25
85.1,84.8,78,201201월,3.37,3.50,3.80,4.24,3.55,3.26,3.25
85.2,84.5,77.7,201202월,3.43,3.55,3.81,4.25,3.53,3.25,3.25
85,84,77.1,201203월,3.55,3.69,3.95,4.36,3.54,3.25,3.25
84.7,83.2,76.2,201204월,3.50,3.64,3.90,4.25,3.54,3.25,3.25
84.4,82.8,75.8,201205월,3.38,3.49,3.75,4.01,3.54,3.26,3.25
84.1,82.2,75.3,201206월,3.29,3.41,3.63,3.87,3.54,3.26,3.25
83.4,81.2,74.2,201207월,3.01,3.12,3.30,3.60,3.34,3.08,3
83.3,80.7,73.6,201208월,2.83,2.94,3.09,3.40,3.19,3.00,3
83.3,80.4,73.2,201209월,2.81,2.89,3.05,3.31,3.14,2.99,3
83.3,80.2,73.1,201210월,2.78,2.85,2.97,3.30,2.93,2.80,2.75
82.9,79.8,72.8,201211월,2.80,2.87,2.99,3.32,2.85,2.75,2.75
82,79,72.1,201212월,2.85,2.98,3.13,3.30,2.88,2.75,2.75
